年/月,2023/03,2023/03,2023/06,2023/06,2023/09,2023/09,2023/12,2023/12,,,,
季別,1,1,2,2,3,3,4,4,,,,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,,,,
單季(Q)/單半年(H),累季,Q,累季,Q,累季,Q,累季,Q,,,,
月份,3,3,6,6,9,9,12,12,,,,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,,,,
  現金及約當現金,"1,385,232,810","1,385,232,810","1,276,723,984","1,276,723,984","1,311,806,535","1,311,806,535","1,465,427,753","1,465,427,753",,,,
  透過損益按公允價值衡量之金融資產－流動,"982,014","982,014","975,584","975,584","378,526","378,526","924,636","924,636",,,,
  透過其他綜合損益按公允價值衡量之金融資產－流動,129541034,129541034,140774929,140774929,154838390,154838390,154530830,154530830,,,,
  按攤銷後成本衡量之金融資產－流動,73428595,73428595,71452494,71452494,84261089,84261089,66761221,66761221,,,,
  避險之金融資產－流動,70,70,29704,29704,37451,37451,0,0,,,,
  合約資產－流動,0,0,0,0,0,0,0,0,,,,
  應收帳款及票據,"148,047,679","148,047,679","191,026,814","191,026,814","222,823,910","222,823,910","201,938,365","201,938,365",,,,
  其他應收款,"76,608","76,608","2,521,323","2,521,323","82,363","82,363","71,871","71,871",,,,
  資金貸予他人－流動,0,0,0,0,0,0,0,0,,,,
  存貨,"216,067,981","216,067,981","234,332,949","234,332,949","262,090,072","262,090,072","250,997,088","250,997,088",,,,
  生物資產流動,0,0,0,0,0,0,0,0,,,,
  預付費用及預付款,0,0,0,0,0,0,0,0,,,,
  應收代理店款,0,0,0,0,0,0,0,0,,,,
  待出售非流動資產,0,0,0,0,0,0,0,0,,,,
  當期所得稅資產－流動,0,0,0,0,0,0,0,0,,,,
  其他金融資產－流動,"26,007,016","26,007,016","25,698,767","25,698,767","26,938,240","26,938,240","27,158,766","27,158,766",,,,
  其他流動資產,"16,343,714","16,343,714","16,427,659","16,427,659","19,221,060","19,221,060","26,222,380","26,222,380",,,,
流動資產,"1,995,727,521","1,995,727,521","1,959,964,207","1,959,964,207","2,082,477,636","2,082,477,636","2,194,032,910","2,194,032,910",,,,
  透過損益按公允價值衡量之金融資產－非流動,0,0,"108,955","108,955","111,637","111,637","13,417,457","13,417,457",,,,
  透過其他綜合損益按公允價值衡量之金融資產－非流動,"6,918,090","6,918,090","7,516,718","7,516,718","7,933,799","7,933,799","7,208,655","7,208,655",,,,
  按攤銷後成本衡量之金融資產－非流動,34512468,34512468,60139036,60139036,79379651,79379651,79199367,79199367,,,,
  避險之金融資產－非流動,0,0,0,0,0,0,0,0,,,,
  合約資產－非流動,0,0,0,0,0,0,0,0,,,,
  採權益法之長期股權投資,"28,483,064","28,483,064","26,845,396","26,845,396","28,921,558","28,921,558","29,616,638","29,616,638",,,,
  預付投資款,0,0,0,0,0,0,0,0,,,,
  不動產廠房及設備,"2,833,396,892","2,833,396,892","2,947,233,393","2,947,233,393","3,132,664,367","3,132,664,367","3,064,474,984","3,064,474,984",,,,
    商譽淨額,"5,752,307","5,752,307","5,848,444","5,848,444","6,004,735","6,004,735","5,796,438","5,796,438",,,,
    特許權,0,0,0,0,0,0,0,0,,,,
    發展中之無形資產,0,0,0,0,0,0,0,0,,,,
    其他無形資產淨額,"18,544,532","18,544,532","18,001,489","18,001,489","17,405,834","17,405,834","16,970,306","16,970,306",,,,
  商譽及無形資產合計,"24,296,839","24,296,839","23,849,933","23,849,933","23,410,569","23,410,569","22,766,744","22,766,744",,,,
    遞延所得稅資產,"68,775,652","68,775,652","68,379,721","68,379,721","71,030,144","71,030,144","64,175,787","64,175,787",,,,
    其他遞延資產淨額,0,0,0,0,0,0,0,0,,,,
  遞延資產合計,"68,775,652","68,775,652","68,379,721","68,379,721","71,030,144","71,030,144","64,175,787","64,175,787",,,,
    遞延借項－非流動,0,0,0,0,0,0,0,0,,,,
    使用權資產,"42,018,656","42,018,656","41,595,010","41,595,010","41,254,711","41,254,711","40,424,830","40,424,830",,,,
    投資性不動產淨額,0,0,0,0,0,0,0,0,,,,
    預付設備款,0,0,0,0,0,0,0,0,,,,
    長期預付租金,0,0,0,0,0,0,0,0,,,,
    生物資產非流動,0,0,0,0,0,0,0,0,,,,
    其他非流動資產－其他,"11,715,166","11,715,166","13,832,676","13,832,676","17,372,309","17,372,309","17,053,843","17,053,843",,,,
  其他非流動資產,"53,733,822","53,733,822","55,427,686","55,427,686","58,627,020","58,627,020","57,478,673","57,478,673",,,,
非流動資產,"3,050,116,827","3,050,116,827","3,189,500,838","3,189,500,838","3,402,078,745","3,402,078,745","3,338,338,305","3,338,338,305",,,,
資產總額,"5,045,844,348","5,045,844,348","5,149,465,045","5,149,465,045","5,484,556,381","5,484,556,381","5,532,371,215","5,532,371,215",,,,
  短期借款,0,0,0,0,0,0,0,0,,,,
  應付商業本票∕承兌匯票,0,0,0,0,0,0,0,0,,,,
  透過損益按公允價值衡量之金融負債－流動,"620,967","620,967","195,001","195,001","132,768","132,768","121,412","121,412",,,,
  避險之金融負債－流動,"39,108","39,108","7,237,440","7,237,440","26,879,550","26,879,550","27,334,164","27,334,164",,,,
  按攤銷後成本衡量之金融負債－流動,0,0,0,0,0,0,0,0,,,,
  合約負債－流動,44249039,44249039,43731063,43731063,50852364,50852364,52736430,52736430,,,,
  應付帳款及票據,"47,381,949","47,381,949","48,972,779","48,972,779","53,772,306","53,772,306","57,293,057","57,293,057",,,,
  其他應付款,"398,669,393","398,669,393","399,909,598","399,909,598","452,806,783","452,806,783","423,960,584","423,960,584",,,,
  當期所得稅負債,"157,215,093","157,215,093","70,060,259","70,060,259","102,953,391","102,953,391","98,912,902","98,912,902",,,,
  負債準備－流動,0,0,0,0,0,0,0,0,,,,
  與待出售非流動資產直接相關之負債,0,0,0,0,0,0,0,0,,,,
  其他金融負債－流動,0,0,0,0,0,0,0,0,,,,
  租賃負債─流動,"2,647,402","2,647,402","2,638,203","2,638,203","2,775,196","2,775,196","2,810,551","2,810,551",,,,
  一年內到期長期負債,"8,040,000","8,040,000","8,125,556","8,125,556","7,420,132","7,420,132","9,293,266","9,293,266",,,,
  特別股負債－流動,0,0,0,0,0,0,0,0,,,,
  應付代理店款,0,0,0,0,0,0,0,0,,,,
  其他流動負債,"214,226,970","214,226,970","229,959,108","229,959,108","272,442,326","272,442,326","241,120,950","241,120,950",,,,
流動負債,"873,089,921","873,089,921","810,829,007","810,829,007","970,034,816","970,034,816","913,583,316","913,583,316",,,,
  透過損益按公允價值衡量之金融負債－非流動,0,0,0,0,0,0,0,0,,,,
  避險之金融負債－非流動,0,0,0,0,0,0,0,0,,,,
  按攤銷後成本衡量之金融負債－非流動,0,0,0,0,0,0,0,0,,,,
  合約負債－非流動,0,0,0,0,0,0,0,0,,,,
  特別股負債－非流動,0,0,0,0,0,0,0,0,,,,
  應付公司債－非流動,"848,637,481","848,637,481","901,710,299","901,710,299","932,479,423","932,479,423","913,899,843","913,899,843",,,,
  銀行借款－非流動,"6,147,668","6,147,668","5,611,138","5,611,138","5,013,050","5,013,050","4,382,965","4,382,965",,,,
  其他長期借款－非流動,0,0,0,0,0,0,0,0,,,,
  租賃負債－非流動,"29,984,875","29,984,875","29,734,633","29,734,633","29,415,325","29,415,325","28,681,835","28,681,835",,,,
  負債準備－非流動,0,0,0,0,0,0,0,0,,,,
  遞延貸項,0,0,0,0,0,0,0,0,,,,
  應計退休金負債,"8,602,302","8,602,302","8,604,642","8,604,642","8,615,678","8,615,678","9,257,224","9,257,224",,,,
  遞延所得稅,"726,005","726,005","373,563","373,563","212,549","212,549","53,856","53,856",,,,
  其他非流動負債,"185,758,498","185,758,498","187,133,564","187,133,564","165,967,433","165,967,433","179,249,329","179,249,329",,,,
非流動負債,"1,079,856,829","1,079,856,829","1,133,167,839","1,133,167,839","1,141,703,458","1,141,703,458","1,135,525,052","1,135,525,052",,,,
負債總額,"1,952,946,750","1,952,946,750","1,943,996,846","1,943,996,846","2,111,738,274","2,111,738,274","2,049,108,368","2,049,108,368",,,,
    普通股股本,"259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710",,,,
    特別股股本,0,0,0,0,0,0,0,0,,,,
    預收股款,0,0,0,0,0,0,0,0,,,,
    待分配股票股利,0,0,0,0,0,0,0,0,,,,
    換股權利證書,0,0,0,0,0,0,0,0,,,,
  股本,"259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710","259,320,710",,,,
  資本公積合計,"69,894,441","69,894,441","69,895,542","69,895,542","69,879,218","69,879,218","69,876,381","69,876,381",,,,
    法定盈餘公積,"311,146,899","311,146,899","311,146,899","311,146,899","311,146,899","311,146,899","311,146,899","311,146,899",,,,
    特別盈餘公積,"20,320,473","20,320,473","23,593,925","23,593,925","17,228,363","17,228,363",0,0,,,,
    未分配盈餘,"2,441,820,698","2,441,820,698","2,542,569,779","2,542,569,779","2,682,157,537","2,682,157,537","2,846,883,893","2,846,883,893",,,,
  保留盈餘,"2,773,288,070","2,773,288,070","2,877,310,603","2,877,310,603","3,010,532,799","3,010,532,799","3,158,030,792","3,158,030,792",,,,
    國外營運機構財務報表換算之兌換差額,"-16,823,767","-16,823,767","-9,862,739","-9,862,739","18,198,873","18,198,873","-25,316,769","-25,316,769",,,,
    透過其他綜合損益按公允價值衡量之金融資產未實現損益,"-8,221,159","-8,221,159","-8,812,431","-8,812,431","-10,609,427","-10,609,427","-4,099,928","-4,099,928",,,,
    指定按公允價值衡量之金融負債信用風險變動影響數,0,0,0,0,0,0,0,0,,,,
    確定福利計畫再衡量數,0,0,0,0,0,0,0,0,,,,
    避險工具損益,"1,451,001","1,451,001","1,446,807","1,446,807","1,448,219","1,448,219","1,395,875","1,395,875",,,,
    不動產重估增值,0,0,0,0,0,0,0,0,,,,
    與待出售非流動資產直接相關之權益,0,0,0,0,0,0,0,0,,,,
    員工未賺得酬勞,"-675,338","-675,338","-548,037","-548,037","-420,735","-420,735",-293434,-293434,,,,
    股東權益其他調整項,0,0,0,0,0,0,0,0,,,,
